Image_Link,Brand_Name,tiles_Description,Info1,Price_Per_SqFt,Price_Per_Box,Category 
https://dpy2z8n9cxui1.cloudfront.net/V001281/5563-glossy-series/5563-lt-glossy-series/1.png?width=240,Rextron Ceramic,5563-LT 450x300 mm Glossy Finish Glossy Series Ceramic Tile 6 mm,Ceramic450x300 mm,41,351,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/random-5-ultra-statuario-1200x600-mm-glossy-finish-tile-9-mm-ceramart-tiles/random-5-ultra-statuario-1200x600-mm-glossy-finish-tile-9-mm/1.png?width=240,GT Tiles,Random 5 Ultra Statuario 1200x600 mm Glossy Finish Tile - 9 mm,1200x600 mm,61,939,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000548/rey-calix-beige-450x300-mm-omega-series-pocer-body-wall-cladding-reycera-tiles/rey-calix-beige-450x300-mm-omega-series-pocer-body-wall-cladding/1.png?width=240,Rey +,Rey Calix Beige 450x300 mm Matte Finish Omega Series Wall Cladding Porcelain Tiles - 6 mm,Porcelain450x300 mm,47,339,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000843/6033-hl-1-450x300-mm-ceramic-wall-tile-nandi-ceramic-tiles/6033-hl-1-450x300-mm-ceramic-wall-tile/2.png?width=240,Cap,6033 D 450x300 mm Bathroom Series Matte Finish Ceramic Wall Tile - 7 mm,Ceramic450x300 mm,40,342,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/kolo-series-chennai-304-600x300-mm-varnish-finish-high-depth-elevation-ceramic-tile-ceramart-tiles/kolo-series-chennai-304-600x300-mm-varnish-finish-high-depth-elevation-ceramic-tile/1.jpg?width=240,Kolo Ceramic,Kolo Ceramic Chennai-304 600x300 mm Varnish Finish High Depth Elevation Ceramic Tile,Ceramic600x300 mm,65,623,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000728/nico-200x200-mm-metallic-finish-subway-tile-10-mm-subway-tiles/nico-200x200-mm-metallic-finish-subway-tile-10-mm/1.jpeg?width=240,Subway Tiles,Nico 200x200 mm Metallic Finish Subway Tile -10 mm,Ceramic200x200 mm,87,1725,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000607/4171-450x300-mm-cadbury-ceramic/4171-ahl-glossy-12x18-consept/1.jpg?width=240,Cadbury Ceramic,4171 - AHL 450x300 mm Glossy Finish Ceramic Tile,Ceramic450x300 mm,41,351,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001235/wd-105-300x300-mm-matte-finish-heavy-duty-gvt-parking-tile-10-mm/wd-105-vitrified/1.jpg?width=240,Redwood Ceramic,Wd-105 300x300 mm Matte Finish Heavy Duty GVT Parking Tile - 10 mm,Vitrified300x300 mm,51,392,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001207/7010-1200x600-mm-glossy-finish-carving-collection-gvt-tile-9-mm/7010-carving-collection/1.png?width=240,Fusion Granito,7010 1200x600 mm Glossy Finish Carving Collection GVT Floor and Wall Tile - 9 mm,Vitrified1200x600 mm,79,1218,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000530/nero-marquina-1200x600-mm-high-gloss-black-panther-finish-gvt-tile-9-mm-colortile/nero-marquina-1200x600-mm-high-gloss-black-panther-finish-gvt-tile-9-mm/1.png?width=240,Colortile,Nero Marquina 1200x600 mm High Gloss (Black Panther) Finish GVT Tile - 9 mm,Vitrified1200x600 mm,111,1715,Tiles
